seed_term,nct_id,study_type,status,study_title,acronym,study_status,brief_summary,conditions,sponsor,phases,funder_type,start_date,completion_date,collaborators,intervention_type,drug_interventions,drug_and_other_names,mesh_terms,mesh_ancestors,sponsor_norm,parent_sponsor,global_trial_count
cardiovascular diseases,NCT04483791,INTERVENTIONAL,COMPLETED,DynamX Bioadaptor Hong Kong Registry,,COMPLETED,"Prospective, non-randomized, multicenter registry",Coronary Artery Disease,Elixir Medical Corporation,PHASE4,INDUSTRY,2020-09-30,2022-12-31,,COMBINATION_PRODUCT,,,Coronary Artery Disease,Coronary Disease | Myocardial Ischemia | Heart Diseases | Cardiovascular Diseases | Arteriosclerosis | Arterial Occlusive Diseases | Vascular Diseases,Elixir Medical Corporation,Elixir Medical Corporation,1
cardiovascular diseases,NCT06833190,INTERVENTIONAL,TERMINATED,REGN5381 in Adult Participants With Uncontrolled Hypertension,NATRIX-SBP,TERMINATED,"This study is researching an experimental drug called REGN5381 (called ""study drug""). The study is focused on uncontrolled hypertension (high blood pressure despite being on one or more antihypertensive drugs).

The aim of the study is to see how effective the study drug is in reducing blood pressure. The study is designed as a 2-part study with participants initially enrolling in Part A. Part B of the study will commence and enroll the remaining study participants.

The study is looking at several other research questions, including:

* What side effects may happen from taking the study drug
* How much study drug is in the blood at different times
* Whether the body makes antibodies against the study drug (which could make the drug less effective or could lead to side effects)",Uncontrolled Hypertension,Regeneron Pharmaceuticals,PHASE2,INDUSTRY,2025-04-16,2025-10-15,,DRUG,REGN5381 (DRUG) | Placebo (DRUG),REGN5381 | Placebo,Hypertension,Vascular Diseases | Cardiovascular Diseases,Regeneron,Regeneron,59
cardiovascular diseases,NCT05712746,OBSERVATIONAL,ACTIVE_NOT_RECRUITING,Samtasu Post-marketing General Drug Use-results Survey in Patients With Volume Overload in Heart Failure.,,ACTIVE_NOT_RECRUITING,To confirm the safety of tolvaptan sodium phosphate in patients with volume overload in heart failure.,Heart Failure,"Otsuka Pharmaceutical Co., Ltd.",,INDUSTRY,2023-03-03,2027-05-31,,DRUG,Samtasu for I.V. infusion (DRUG),Samtasu for I.V. infusion,Heart Failure,Heart Diseases | Cardiovascular Diseases,"Otsuka Pharmaceutical Co., Ltd.","Otsuka Pharmaceutical Co., Ltd.",3
cardiovascular diseases,NCT05138289,OBSERVATIONAL,COMPLETED,"The REVEALPLAQUE Study: A pRospEctiVe, multicEnter Study to AnaLyze PLAQUE Using CCTA",REVEALPLAQUE,COMPLETED,This study will evaluate the level of agreement between noninvasive CCTA (coronary computed tomography angiography)-based quantification and characterization of coronary atherosclerosis and invasive IVUS (intravascular ultrasound).,"Coronary Artery Disease (CAD) (E.G., Angina, Myocardial Infarction, and Atherosclerotic Heart Disease (ASHD))","HeartFlow, Inc.",,INDUSTRY,2021-10-12,2022-11-08,,OTHER,,,Coronary Artery Disease | Angina Pectoris | Myocardial Infarction,"Coronary Disease | Myocardial Ischemia | Heart Diseases | Cardiovascular Diseases | Arteriosclerosis | Arterial Occlusive Diseases | Vascular Diseases | Chest Pain | Pain | Neurologic Manifestations | Signs and Symptoms | Pathological Conditions, Signs and Symptoms | Infarction | Ischemia | Pathologic Processes | Necrosis","HeartFlow, Inc.","HeartFlow, Inc.",0
cardiovascular diseases,NCT05444660,OBSERVATIONAL,COMPLETED,PMCF Study for Peripheral Arteries Below the Knee (BTK),,COMPLETED,"The rationale of this study is to confirm and support the clinical safety and performance of any of these products in a real-word population of 100 patients who underwent an endovascular intervention within standard-of-care (SOC) of the infra-popliteal vessels, using at least one of the products (named above) from Cordis US Corp.",Peripheral Artery Disease,Cordis US Corp.,,INDUSTRY,2022-05-05,2022-11-02,FCRE (Foundation for Cardiovascular Research and Education),,,,Peripheral Arterial Disease,Atherosclerosis | Arteriosclerosis | Arterial Occlusive Diseases | Vascular Diseases | Cardiovascular Diseases | Peripheral Vascular Diseases,Cordis US Corp.,Cordis US Corp.,0
cardiovascular diseases,NCT05362110,INTERVENTIONAL,COMPLETED,A Study to Evaluate Efficacy and Safety of HCP1803 in Patients With Essential Hypertension,HM_APOLLO,COMPLETED,"A multicenter, randomized, double-blind, phase 3 study to evaluate efficacy and safety of HCP1803 in patients with essential hypertension",Hypertension,Hanmi Pharmaceutical Company Limited,PHASE3,INDUSTRY,2022-05-16,2023-06-05,,DRUG,HCP1803-3 (DRUG) | RLD2002 (DRUG) | HPP2003-3 (DRUG) | HPP2004 (DRUG),HCP1803-3 | RLD2002 | HPP2003-3 | HPP2004,Hypertension,Vascular Diseases | Cardiovascular Diseases,Hanmi Pharmaceutical Company Limited,Hanmi Pharmaceutical Company Limited,11
cardiovascular diseases,NCT06990204,INTERVENTIONAL,NOT_YET_RECRUITING,"Bioequivalence Study of Azilsartan Medoxomil 80 mg Tablets (Gedeon Richter Plc., Hungary) and Edarbi® 80 mg Tablets (JSC Nizhpharm, Russia)",,NOT_YET_RECRUITING,"ACEis are among the most widely used classes of antihypertensive drugs. ARBs have a similar antihypertensive efficacy and protective effect as ACEis, albeit with a somewhat different mechanism for RAS inhibition and a smaller randomized clinical trials' database. A difference between ACEis and ARBs is their tolerability profile, with ARBs having a rate of side effects similar to placebo. Most importantly, the clinical evidence supports a relevant protective role of ARBs toward the CV and renal damage development, as well as the occurrence of major adverse CV events, in hypertensive patients. Moreover, a neutral metabolic effect has been reported upon ARBs administration, in contrast to other antihypertensive agents, such as BBs and diuretics. These properties highlight the use of ARBs as an excellent pharmacological strategy to manage hypertension and its dangerous consequences

The purpose of this study is to compare pharmacokinetics (PK), safety, and tolerability of the IMPs Azilsartan medoxomil 80 mg tablets and of Edarbi® 80 mg tablets in healthy adult subjects of both sexes under fasting conditions.

Dose proportionality in exposure was established for azilsartan in the azilsartan medoxomil dose range of 20 mg to 320 mg after single or multiple dosing. In the present study the highest available strength of Azilsartan medoxomil 80 mg tablets will be investigated. Administration of this dose is expected to provide accurate and reliable determination of azilsartan plasma concentrations.

This is a single center, open label, randomized, four-period, two-sequence, fully replicate, cross-over bioequivalence study in healthy adult subjects of both sexes after single dose administration under fasting conditions. A single oral dose of the IMP (Test IMP: Azilsartan Medoxomil 80 mg tablets or Reference IMP: Edarbi® 80 mg tablets )will be administered under fasting conditions in each of the 4 study periods.",Hypertension,Gedeon Richter Plc.,PHASE1,INDUSTRY,2025-06-06,2025-07-01,,DRUG,Azilsartan medoxomil 80 mg tablet (DRUG) | Edarbi® 80 mg tablets (DRUG),Azilsartan medoxomil 80 mg tablet | Edarbi® 80 mg tablets,Hypertension,Vascular Diseases | Cardiovascular Diseases,Gedeon Richter Plc.,Gedeon Richter Plc.,1
cardiovascular diseases,NCT04761939,OBSERVATIONAL,COMPLETED,BIONICS Small Vessels Trial EluNIR Ridaforolimus Eluting Coronary Stent System (EluNIR) in Coronary Stenosis Trial,,COMPLETED,"Device:

EluNIR Ridaforolimus Eluting Coronary Stent System - (hereafter referred to as EluNIR) 2.25 mm diameter (8 mm, 12 mm, 15 mm, 17 mm, 20 mm, 24 mm, 28 mm and 33 mm length)

Objectives:

To further assess the safety and efficacy of the small diameter (2.25 mm) Ridaforolimus Eluting Stent - EluNIR.

Subject Population:

Subjects who underwent PCI for angina (stable or unstable), silent ischemia (in absence of symptoms a visually estimated target lesion diameter stenosis of ≥70%, a positive non-invasive stress test, or FFR ≤0.80 must be present), NSTEMI, and recent STEMI (\>24 hours from initial presentation and stable) with attempted implantation of a 2.25 mm diameter EluNIR stent.

Trial Design and Methods:

This is a prospective, multi-center, single-arm, open-label clinical trial. Clinical follow-up for all patients will be performed at 30 days 6 months, and 1 year after the procedure.","Coronary Stenosis, Coronary Disease, Myocardial Ischemia, Cardiovascular Diseases",Medinol Ltd.,,INDUSTRY,2020-12-31,2022-02-20,,COMBINATION_PRODUCT,,,Coronary Stenosis | Coronary Disease | Myocardial Ischemia | Cardiovascular Diseases,Heart Diseases | Vascular Diseases,Medinol Ltd.,Medinol Ltd.,0
cardiovascular diseases,NCT04433572,INTERVENTIONAL,RECRUITING,Temsirolimus Adventitial Delivery to Improve ANGioplasty and/or Atherectomy Revascularization Outcomes Below the Knee,TANGO-3,RECRUITING,"A multicenter, randomized, double-blind, placebo-controlled trial to evaluate the effect of Temsirolimus Perivascular Injection 0.1 mg/mL on the incidence of ischemia-driven major amputation, clinically driven target lesion revascularization, and clinically relevant target lesion occlusion after revascularization of lesions below the knee in patients with symptomatic Rutherford 3-5 peripheral artery disease. The primary safety endpoint will be gathered at 1-month post-index procedure. The primary efficacy endpoint will be gathered at 6 months post-index procedure. Participants will be followed for up to 5 years post-index procedure.","Peripheral Artery Disease, Critical Limb Ischemia","Mercator MedSystems, Inc.",PHASE3,INDUSTRY,2025-07-30,2032-08-01,,DRUG,Temsirolimus (DRUG) | Saline placebo (DRUG),Temsirolimus | Saline placebo,Peripheral Arterial Disease | Chronic Limb-Threatening Ischemia,"Atherosclerosis | Arteriosclerosis | Arterial Occlusive Diseases | Vascular Diseases | Cardiovascular Diseases | Peripheral Vascular Diseases | Chronic Disease | Disease Attributes | Pathologic Processes | Pathological Conditions, Signs and Symptoms | Ischemia","Mercator MedSystems, Inc.","Mercator MedSystems, Inc.",2
cardiovascular diseases,NCT04444895,INTERVENTIONAL,COMPLETED,A Study of Long-Term Safety and Efficacy of Lanadelumab for Prevention of Acute Attacks of Non-histaminergic Angioedema With Normal C1-Inhibitor,,COMPLETED,The purpose of this study is to evaluate the long-term safety and efficacy of repeated subcutaneous (SC) administration of lanadelumab in adolescents and adults with non-histaminergic angioedema with normal C1-inhibitor who completed study SHP643-303 (NCT04206605).,Angioedema,Shire,PHASE3,INDUSTRY,2021-02-05,2023-05-05,"Takeda Development Center Americas, Inc.",DRUG,Lanadelumab (DRUG),Lanadelumab ::: DX-2930 :: SHP643 :: TAK-743,Angioedema,"Vascular Diseases | Cardiovascular Diseases | Urticaria | Skin Diseases, Vascular | Skin Diseases | Skin and Connective Tissue Diseases | Hypersensitivity, Immediate | Hypersensitivity | Immune System Diseases",Shire,Takeda,0
