nct_id,Indication
NCT05423860,Cardiovascular Diseases
NCT05423860,Neoplasms
NCT05423860,Dementia
NCT05423860,"Brain Injuries, Traumatic"
NCT06707090,Varicose Ulcer
NCT06707090,Wounds and Injuries
NCT05356546,Heart Diseases
NCT06189053,Myocarditis
NCT06189053,Coronavirus Infections
NCT06189053,Virus Diseases
NCT06189053,COVID-19
NCT05691959,Hypotension
NCT05691959,Atrial Fibrillation
NCT05099094,Retinal Vein Occlusion
NCT05099094,Retinal Diseases
NCT05099094,Choroid Diseases
NCT05099094,"Neovascularization, Pathologic"
NCT07547540,Heart Failure
NCT07547540,"Heart Failure, Diastolic"
NCT07547540,"Heart Failure, Systolic"
NCT06001918,"Aortic Aneurysm, Abdominal"
NCT06647745,"Diabetes Mellitus, Type 2"
NCT06647745,Hypertension
NCT07308639,Retinal Vein Occlusion
NCT05327101,"Arrhythmias, Cardiac"
NCT05327101,Bradycardia
NCT04732728,Atrial Fibrillation
NCT04732728,Syncope
NCT04732728,Ischemic Stroke
NCT05587764,"Death, Sudden, Cardiac"
NCT06017609,Heart Failure
NCT07312799,Hypertension
NCT06380699,Ischemic Stroke
NCT07371663,"Carcinoma, Non-Small-Cell Lung"
NCT07371663,Stomach Neoplasms
NCT07371663,Endometrial Neoplasms
NCT07371663,Melanoma
NCT07371663,Ataxia Telangiectasia
NCT06557616,Atrial Fibrillation
NCT06557616,"Arrhythmias, Cardiac"
NCT04271280,Dyslipidemias
NCT04271280,Cardiovascular Diseases
NCT04271280,Hypercholesterolemia
NCT04271280,Atherosclerosis
NCT03763136,Heart Failure
NCT04739254,Endocrine System Diseases
NCT04739254,Cardiovascular Diseases
NCT04739254,Ischemia
NCT05981092,"Cardiomyopathy, Dilated"
NCT05981092,Cardiomyopathies
NCT05981092,Heart Diseases
NCT06480994,Venous Thromboembolism
NCT06480994,Pulmonary Embolism
NCT06480994,Venous Thrombosis
NCT04233437,Stroke
NCT04930094,Giant Cell Arteritis
NCT04930094,Vasculitis
NCT05484154,Ischemic Stroke
NCT05484154,Stroke
NCT06948422,Hypertension
NCT06673056,Ataxia Telangiectasia
NCT05369065,"Diabetes Mellitus, Type 2"
NCT05369065,Hypertension
NCT05369065,Diabetes Mellitus
NCT04233073,Thrombosis
NCT06875973,Atherosclerosis
NCT07352969,Hypertension
NCT05408039,Hyperkalemia
NCT05408039,Heart Failure
NCT05408039,"Renal Insufficiency, Chronic"
NCT05199129,Hypertension
NCT04378075,Mitochondrial Diseases
NCT04378075,Drug Resistant Epilepsy
NCT04378075,Leigh Disease
NCT04378075,Mitochondrial encephalopathy
NCT04378075,MELAS Syndrome
NCT04378075,Pontocerebellar Hypoplasia Type 6
NCT04378075,Diffuse Cerebral Sclerosis of Schilder
NCT04378075,MERRF Syndrome
NCT04378075,Seizures
NCT04378075,Status Epilepticus
NCT04378075,Nerve Degeneration
NCT07050160,Cardiomyopathies
NCT07050160,Arrhythmogenic Right Ventricular Dysplasia
NCT07050160,"Death, Sudden, Cardiac"
NCT07050160,Heart Arrest
NCT06722079,Turner Syndrome
NCT06147986,ST Elevation Myocardial Infarction
NCT06226805,Ischemic Stroke
NCT06226805,Stroke
NCT06226805,Intracranial Hemorrhages
NCT04670679,Noonan Syndrome
NCT04670679,Neoplasm Metastasis
NCT04670679,Neoplasms
NCT04670679,Colorectal Neoplasms
NCT04670679,Squamous Cell Carcinoma of Head and Neck
NCT04670679,Chordoma
NCT04157751,Heart Failure
NCT07673822,"Diabetes Mellitus, Type 2"
NCT07673822,Obesity
NCT07673822,"Renal Insufficiency, Chronic"
NCT07443670,Heart Failure
NCT06826872,Essential Hypertension
NCT06826872,Cardiovascular Diseases
NCT06008028,Hypertension
NCT06205628,Hypertension
NCT06205628,Essential Hypertension
NCT07739160,Ischemic Stroke
NCT07656779,Cardiomyopathies
NCT04413851,Dementia
NCT04413851,Alzheimer Disease
NCT04413851,"Dementia, Vascular"
NCT04413851,Frontotemporal Dementia
NCT04413851,Lewy Body Disease
NCT04413851,Mixed Dementias
NCT05372718,Thrombosis
NCT05824923,"Hypertension, Pulmonary"
NCT05824923,Hypertension
NCT05824923,Vascular Diseases
NCT05824923,Cardiovascular Diseases
NCT05824923,Heart Failure
NCT07656454,Heart Failure
NCT07581431,
NCT05974345,Atherosclerosis
NCT05974345,Hypercholesterolemia
NCT05974345,Dyslipidemias
NCT05974345,Hyperlipidemias
NCT05974345,Myocardial Infarction
NCT05974345,Ischemic Stroke
NCT05974345,Peripheral Arterial Disease
NCT05974345,Arteriosclerosis
NCT05974345,Arterial Occlusive Diseases
NCT05974345,Vascular Diseases
NCT05974345,Cardiovascular Diseases
NCT06193200,Ataxia Telangiectasia
NCT03205137,Hypertension
NCT05004428,"Diabetes Mellitus, Type 2"
NCT05004428,"Renal Insufficiency, Chronic"
NCT05004428,Cardiovascular Diseases
NCT05004428,Kidney Diseases
NCT05004428,"Diabetes Mellitus, Type 1"
NCT05174442,Heart Diseases
NCT06381466,"Cardiomyopathy, Dilated"
NCT06381466,Heart Failure
NCT05906745,Heart Failure
NCT06608472,Hypertension
NCT04692766,Pericarditis
NCT06237322,Respiration Disorders
NCT06237322,Cardiovascular Diseases
NCT06237322,Diabetes Mellitus
NCT06237322,Glucose Intolerance
NCT04959305,Hypertension
NCT07357675,Coronary Artery Disease
NCT07118995,"Aortic Aneurysm, Thoracoabdominal"
NCT07118995,Vascular Diseases
NCT07118995,Aortic Diseases
NCT07118995,Aortic Aneurysm
NCT04959981,Noonan Syndrome
NCT04959981,"Carcinoma, Non-Small-Cell Lung"
NCT04959981,Lung Neoplasms
NCT04959981,Thoracic Neoplasms
NCT06952530,Hypertension
NCT05362110,Hypertension
NCT05407662,"Renal Insufficiency, Chronic"
NCT05407662,"Diabetes Mellitus, Type 2"
NCT05407662,Heart Failure
NCT05022758,Stroke
NCT06412250,Cardiovascular Diseases
NCT07676097,Microvascular Angina
NCT06393712,Cerebral Amyloid Angiopathy
NCT06866600,Heart Failure
NCT06813911,Atherosclerosis
NCT06813911,Cardiovascular Diseases
NCT06168409,Hypertension
NCT06858332,Atherosclerosis
NCT06858332,Cardiovascular Diseases
NCT05625347,"Pulmonary Disease, Chronic Obstructive"
NCT05625347,Respiratory Aspiration
NCT05625347,Myocardial Infarction
NCT04078555,Varicose Ulcer
NCT05125679,Psoriasis
NCT05180396,Heart Failure
NCT05939700,Breast Feeding
NCT05939700,"Cardiomyopathy, Hypertrophic"
NCT05135000,Pulmonary Arterial Hypertension
NCT05135000,"Hypertension, Pulmonary"
NCT05615363,"Edema, Cardiac"
NCT05615363,Heart Failure
NCT06145893,Behcet Syndrome
NCT06369298,Heart Failure
NCT06369298,"Fibromatosis, Gingival, 2"
NCT06369298,"Heart Failure, Systolic"
NCT06369298,"Heart Failure, Diastolic"
NCT06369298,Atrial Fibrillation
NCT06369298,Atrial Flutter
NCT04684602,Autoimmune Diseases
NCT04684602,Cardiovascular Diseases
NCT04684602,Diabetes Complications
NCT04684602,Skin Diseases
NCT04684602,Musculoskeletal Diseases
NCT04684602,Neurodegenerative Diseases
NCT04684602,Nervous System Diseases
NCT04684602,Lung Diseases
NCT04684602,"Sexual Dysfunction, Physiological"
NCT04684602,Urologic Diseases
NCT04684602,Virus Diseases
NCT04684602,Erectile Dysfunction
NCT04684602,Heart Diseases
NCT04684602,Mental Disorders
NCT04684602,Neurocognitive Disorders
NCT04684602,Central Nervous System Diseases
NCT04684602,Tauopathies
NCT04684602,Brain Diseases
NCT04684602,Dementia
NCT04684602,Disease
NCT04684602,Cardiomyopathies
NCT04684602,Peripheral Nervous System Diseases
NCT04684602,Alzheimer Disease
NCT04684602,Immune System Diseases
NCT04684602,Neuromuscular Diseases
NCT04684602,COVID-19
NCT07376265,Heart Failure
NCT07601087,Heart Failure
NCT07220538,Cognitive Dysfunction
NCT07220538,Ischemic Stroke
NCT07263139,Polymorphic Catecholaminergic Ventricular Tachycardia
NCT06566911,Heart Failure
NCT06420011,Intracranial Hemorrhages
NCT05918458,"Hypertension, Pulmonary"
NCT06582485,Reperfusion Injury
NCT05495269,Sturge-Weber Syndrome
NCT05495269,Glaucoma
NCT05495269,Ocular Hypertension
NCT07201688,Ischemic Stroke
NCT05900141,Hyperlipoproteinemias
