raw_sponsor_name,cleaned_operating_name,parent_company_candidate,mapping_type,review_status,notes,dashboard_sponsor_name,parent_rollup_name_if_approved,recommended_current_use
Actelion,Actelion,Johnson & Johnson,acquisition_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Actelion,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
Celgene,Celgene,Bristol Myers Squibb,acquisition_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Celgene,Bristol Myers Squibb,Use dashboard_sponsor_name for now; parent rollup requires team decision
"Juno Therapeutics, a Subsidiary of Celgene",Celgene,Bristol Myers Squibb,acquisition_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Celgene,Bristol Myers Squibb,Use dashboard_sponsor_name for now; parent rollup requires team decision
"Genentech, Inc.",Genentech,Roche,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Genentech,Roche,Use dashboard_sponsor_name for now; parent rollup requires team decision
"Genzyme, a Sanofi Company",Genzyme,Sanofi,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Genzyme,Sanofi,Use dashboard_sponsor_name for now; parent rollup requires team decision
Janssen Cilag S.A.S.,Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
"Janssen Pharmaceutica N.V., Belgium",Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
Janssen Pharmaceutical K.K.,Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
"Janssen Research & Development, LLC",Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
"Janssen Scientific Affairs, LLC",Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
Janssen Vaccines & Prevention B.V.,Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
Janssen-Cilag Ltd.,Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
Janssen-Cilag S.p.A.,Janssen,Johnson & Johnson,parent_rollup_candidate,needs_review,Parent-company/acquisition rollup candidate; keep operating name unless group approves rollup.,Janssen,Johnson & Johnson,Use dashboard_sponsor_name for now; parent rollup requires team decision
Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,Use dashboard_sponsor_name
Amgen,Amgen,Amgen,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Amgen,Amgen,Use dashboard_sponsor_name
AstraZeneca,AstraZeneca,AstraZeneca,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,AstraZeneca,AstraZeneca,Use dashboard_sponsor_name
AstraZeneca Turkey,AstraZeneca,AstraZeneca,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,AstraZeneca,AstraZeneca,Use dashboard_sponsor_name
Bayer,Bayer,Bayer,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Bayer,Bayer,Use dashboard_sponsor_name
Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Boehringer Ingelheim,Boehringer Ingelheim,Use dashboard_sponsor_name
Bristol-Myers Squibb,Bristol Myers Squibb,Bristol Myers Squibb,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Bristol Myers Squibb,Bristol Myers Squibb,Use dashboard_sponsor_name
"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",Bristol Myers Squibb,Bristol Myers Squibb,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Bristol Myers Squibb,Bristol Myers Squibb,Use dashboard_sponsor_name
"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",Bristol Myers Squibb,Bristol Myers Squibb,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Bristol Myers Squibb,Bristol Myers Squibb,Use dashboard_sponsor_name
Eli Lilly and Company,Eli Lilly,Eli Lilly,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Eli Lilly,Eli Lilly,Use dashboard_sponsor_name
"Morphic Therapeutic, Inc. (A Wholly Owned Subsidiary of Eli Lilly and Company)",Eli Lilly,Eli Lilly,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Eli Lilly,Eli Lilly,Use dashboard_sponsor_name
Bellus Health Inc. - a GSK company,GSK,GSK,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,GSK,GSK,Use dashboard_sponsor_name
GlaxoSmithKline,GSK,GSK,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,GSK,GSK,Use dashboard_sponsor_name
Gilead Sciences,Gilead Sciences,Gilead Sciences,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Gilead Sciences,Gilead Sciences,Use dashboard_sponsor_name
"Kite, A Gilead Company",Gilead Sciences,Gilead Sciences,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Gilead Sciences,Gilead Sciences,Use dashboard_sponsor_name
"Ionis Pharmaceuticals, Inc.",Ionis Pharmaceuticals,Ionis Pharmaceuticals,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Ionis Pharmaceuticals,Ionis Pharmaceuticals,Use dashboard_sponsor_name
