seed_term,sponsor,total_trials_since_2020,active_trials_since_2020,early_phase_trials_since_2020,active_early_trials_since_2020,total_trials_since_2020_score,active_trials_since_2020_score,early_phase_trials_since_2020_score,active_early_trials_since_2020_score,trial_activity_score,sponsor_total_active_early,therapeutic_focus_score,activity_trajectory_score,start_slope,starts_early_period,starts_recent_period,effective_indication_breadth,breadth_score,prospect_score
autoimmune diseases,"China Immunotech (Beijing) Biotechnology Co., Ltd.",8,7,8,7,1.0,1.0,1.0,1.0,1.0,7,1.0,0.9926829268292683,0.15000000000000002,0.0,8.0,1.8615384615384616,0.7940259472305706,97.79391800889107
autoimmune diseases,"Nanjing Bioheng Biotech Co., Ltd.",6,4,6,4,0.75,0.6666666666666666,1.0,1.0,0.9375,5,0.8,0.988,0.06666666666666662,0.0,6.0,2.909090909090909,1.0,92.635
autoimmune diseases,Candid Therapeutics,5,5,5,5,0.625,0.8333333333333334,0.8333333333333334,1.0,0.93125,5,1.0,0.9837837837837838,0.11666666666666667,0.0,5.0,1.0,0.5234906775131802,91.47308245080748
autoimmune diseases,Kyverna Therapeutics,7,6,6,5,0.875,1.0,1.0,1.0,0.99375,5,1.0,0.58,-0.03333333333333335,2.0,5.0,1.6896551724137931,0.7472417035095585,88.75991703509558
autoimmune diseases,Juventas Cell Therapy Ltd.,6,6,6,6,0.75,1.0,1.0,1.0,0.9875,9,0.6666666666666666,0.9400000000000001,0.049999999999999996,1.0,5.0,1.0,0.5234906775131802,86.74324010846513
autoimmune diseases,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",5,5,5,5,0.625,0.8333333333333334,0.8333333333333334,1.0,0.93125,9,0.5555555555555556,0.9837837837837838,0.049999999999999996,0.0,5.0,1.6896551724137931,0.7472417035095585,84.82170382188237
autoimmune diseases,Grit Biotechnology,6,6,6,6,0.75,1.0,1.0,1.0,0.9875,15,0.4,0.988,0.11666666666666665,0.0,6.0,1.6842105263157894,0.7457113333721297,84.5921133337213
autoimmune diseases,Cabaletta Bio,7,5,7,5,0.875,0.8333333333333334,1.0,1.0,0.96875,5,1.0,0.44117647058823534,-0.11666666666666668,2.0,4.0,1.3846153846153844,0.6563298879113609,83.82432829087831
autoimmune diseases,AstraZeneca,43,32,11,8,1.0,1.0,1.0,1.0,1.0,151,0.052980132450331126,0.9732030704815073,0.24999999999999997,7.0,36.0,5.731343283582089,1.0,80.52366405863677
autoimmune diseases,"Chongqing Precision Biotech Co., Ltd",6,6,6,6,0.75,1.0,1.0,1.0,0.9875,29,0.20689655172413793,0.9769230769230769,0.05000000000000001,0.0,4.0,1.6,0.7216379836168889,80.26777240911318
